> GMT_XY
103.501 -2.34488
103.62 -2.39872
103.697 -2.44207
103.966 -2.31571
104.024 -2.20362
104.004 -2.0037
103.783 -1.98474
103.707 -1.93027
103.351 -1.93555
103.205 -1.75975
103.076 -1.62819
102.939 -2.07514
103.033 -2.16273
103.237 -2.23757
103.331 -2.25843
> 
255.386 -96.907
255.413 -96.9394
255.439 -96.9608
255.467 -97.0155
255.441 -97.0275
255.426 -97.0615
255.462 -97.1159
255.463 -97.1492
255.438 -97.1724
255.433 -97.2617
255.451 -97.2945
255.461 -97.3275
255.471 -97.3717
255.465 -97.4388
255.441 -97.4953
255.4 -97.5525
255.387 -97.6532
255.371 -97.6872
255.373 -97.7429
255.34 -97.7886
255.305 -97.7676
255.305 -97.7565
255.244 -97.7475
255.21 -97.7599
> 
103.501 -2.34488
103.331 -2.25843
103.237 -2.23757
103.033 -2.16273
102.939 -2.07514
103.076 -1.62819
103.205 -1.75975
103.351 -1.93555
103.707 -1.93027
103.783 -1.98474
104.004 -2.0037
104.024 -2.20362
103.966 -2.31571
103.697 -2.44207
103.62 -2.39872
> 
255.386 -96.907
255.351 -96.886
255.358 -96.8634
255.366 -96.8409
255.401 -96.8508
255.453 -96.86
255.478 -96.8591
255.485 -96.8143
255.493 -96.7917
255.509 -96.7466
255.524 -96.7126
255.567 -96.6888
255.574 -96.6663
255.618 -96.6758
255.633 -96.6196
255.638 -96.5414
255.67 -96.4734
255.692 -96.3724
255.674 -96.3285
255.655 -96.2846
255.636 -96.2408
255.652 -96.1957
255.678 -96.2059
255.703 -96.1827
255.7 -96.1048
255.724 -96.0482
255.678 -95.9608
255.676 -95.9163
255.691 -95.849
255.687 -95.76
255.701 -95.6703
255.724 -95.5916
255.765 -95.5455
255.796 -95.4553
255.786 -95.4
255.775 -95.3335
255.757 -95.3008
255.712 -95.2467
255.668 -95.2149
255.64 -95.1602
255.62 -95.0941
255.618 -95.0274
255.615 -94.9495
255.597 -94.9279
255.595 -94.8722
255.618 -94.8046
255.668 -94.7471
255.647 -94.6587
255.681 -94.6241
255.696 -94.5679
255.754 -94.5323
255.76 -94.443
255.723 -94.3664
255.71 -94.2555
255.623 -94.2141
255.61 -94.092
255.545 -93.9496
255.552 -93.9048
255.547 -93.7713
255.529 -93.7497
255.511 -93.7281
255.506 -93.6057
255.488 -93.5618
255.485 -93.4951
255.439 -93.3965
255.402 -93.3422
255.392 -93.2869
255.374 -93.2541
255.347 -93.2328
255.346 -93.1994
255.344 -93.1438
255.325 -93.0888
255.281 -93.057
255.237 -93.0363
255.202 -93.0264
255.158 -92.9946
255.123 -92.9625
255.078 -92.9084
255.035 -92.8988
254.982 -92.8562
254.963 -92.8234
254.954 -92.7904
254.943 -92.7462
254.941 -92.6794
254.923 -92.6467
254.921 -92.6133
254.92 -92.5688
254.927 -92.5351
254.943 -92.5011
254.933 -92.4681
254.95 -92.4564
254.993 -92.4548
255.018 -92.4316
255.017 -92.3983
255.032 -92.3643
255.075 -92.3516
255.108 -92.3059
255.098 -92.2728
255.148 -92.2264
255.153 -92.1371
255.17 -92.1254
255.186 -92.0914
255.219 -92.0791
255.235 -92.0228
255.225 -91.9898
255.251 -91.9888
255.274 -91.9323
255.273 -91.8878
255.264 -91.877
255.237 -91.8556
255.185 -91.8353
255.209 -91.801
255.207 -91.7454
255.206 -91.712
255.213 -91.6561
255.229 -91.6221
255.21 -91.5782
255.208 -91.5114
255.205 -91.4336
255.178 -91.4012
255.158 -91.3239
255.139 -91.28
255.084 -91.1929
255.107 -91.1141
255.097 -91.0699
255.053 -91.027
255.052 -90.9936
255.06 -90.9822
255.085 -90.9813
255.104 -91.014
255.148 -91.057
255.193 -91.111
255.212 -91.1549
255.228 -91.132
255.279 -91.1079
255.286 -91.0631
255.276 -91.0301
255.256 -90.9639
255.261 -90.8635
255.285 -90.807
255.311 -90.8172
255.318 -90.7612
255.315 -90.6834
255.331 -90.6605
255.296 -90.6284
255.312 -90.6055
255.371 -90.5922
255.371 -90.57
255.344 -90.5486
255.334 -90.5156
255.325 -90.4937
255.316 -90.4717
255.331 -90.4155
255.296 -90.3945
255.303 -90.3608
255.241 -90.3073
255.248 -90.2626
255.23 -90.2409
255.236 -90.1628
255.217 -90.1078
255.215 -90.0521
255.231 -90.0293
255.238 -89.9956
255.271 -89.9499
255.287 -89.927
255.319 -89.859
255.315 -89.7367
255.303 -89.648
255.278 -89.66
255.289 -89.7265
255.263 -89.7385
255.254 -89.7166
255.252 -89.6721
255.259 -89.6051
255.299 -89.5479
255.327 -89.5914
255.363 -89.6569
255.399 -89.7002
255.416 -89.6996
255.441 -89.6653
255.475 -89.664
255.491 -89.6189
255.481 -89.5859
255.497 -89.563
255.47 -89.5194
255.469 -89.4861
255.467 -89.4304
255.482 -89.3742
255.497 -89.318
255.503 -89.2621
255.508 -89.1505
255.506 -89.0949
255.522 -89.0609
255.512 -89.039
255.536 -88.9824
255.535 -88.9379
255.525 -88.9049
255.548 -88.8261
255.555 -88.7813
255.57 -88.7473
255.577 -88.6914
255.593 -88.6462
255.624 -88.556
255.648 -88.5106
255.655 -88.4658
255.678 -88.4093
255.693 -88.3419
255.717 -88.2854
255.697 -88.2304
255.696 -88.197
255.703 -88.1411
255.693 -88.1191
255.704 -87.9405
255.719 -87.8843
255.742 -87.7944
255.766 -87.7601
255.761 -87.6266
255.776 -87.5481
